rank,code,name,date,bar_time,close,bar_change_pct,vol_ratio,signal_bar_vol,prev_bar_vol,ytd_vol_ratio,ytd_same,decline_5d_pct,day_pct,calm3_maxmin,burst3,grade,strength,now_price,chase_pct,chase_warn
1,600795,国电电力,2026-09-11,2026-09-11 14:45,5.32,0.19,3.29,6861100,2087300,1.39,1.45,-1.86,0.95,3.38,1.52,B,★,5.32,0.0,
2,688111,金山办公,2026-09-11,2026-09-11 14:00,230.18,0.96,2.91,546241,187460,1.56,1.89,-6.28,0.48,1.33,2.87,A,★★,228.82,-0.59,
3,000711,京蓝科技,2026-09-11,2026-09-11 13:45,4.99,1.01,2.78,12178400,4385600,0.78,1.09,-12.5,-0.79,1.77,3.58,A,★,4.99,0.0,
4,002025,航天电器,2026-09-11,2026-09-11 14:00,63.28,1.57,2.68,1359870,507800,1.55,1.58,-1.22,-0.61,1.67,3.21,B,★,63.01,-0.43,
5,002850,科达利,2026-09-11,2026-09-11 10:15,165.0,0.16,2.32,556800,240400,1.03,1.66,-1.14,1.25,,,B,★,171.4,3.88,慎追
6,605117,德业股份,2026-09-11,2026-09-11 14:00,84.67,0.76,2.3,427144,185420,1.18,1.01,-3.83,2.88,2.81,1.27,A,★,85.5,0.98,
7,601995,中金公司,2026-09-11,2026-09-11 14:15,32.11,0.72,2.25,2003324,890000,1.23,1.22,-4.1,-1.54,1.92,2.72,A,★,32.01,-0.31,
8,301717,超纯应材,2026-09-11,2026-09-11 13:45,322.5,0.72,2.22,103000,46500,1.08,1.51,-9.58,1.37,2.16,1.56,A,★,323.2,0.22,
9,301236,软通动力,2026-09-11,2026-09-11 10:30,35.28,0.94,2.19,2069719,943254,1.59,2.16,-5.08,0.78,3.6,1.04,A,★★,35.9,1.76,
10,002602,世纪华通,2026-09-11,2026-09-11 14:00,15.63,0.32,2.19,4651856,2124100,1.18,1.26,-1.08,0.0,2.01,1.45,B,★,15.56,-0.45,
11,688220,翱捷科技,2026-09-11,2026-09-11 14:00,88.78,0.38,2.17,382516,176254,1.07,1.2,-2.35,-0.47,1.84,1.42,B,★,88.98,0.23,
12,603893,瑞芯微,2026-09-11,2026-09-11 13:45,179.5,0.8,2.01,539800,268200,0.94,1.27,-3.35,-1.35,1.11,1.94,A,★,180.3,0.45,
