rank,code,name,date,grade,decline_5d_pct,day_pct,calm3_maxmin,burst3,bar_time,close,bar_change_pct,vol_ratio,signal_bar_vol,prev_bar_vol,ytd_vol_ratio,ytd_same,strength,now_price,chase_pct,chase_warn
1,601360,三六零,2026-09-21,B,-2.88,2.74,2.56,6.07,2026-09-21 13:30,9.0,0.78,6.07,22210717,5529300,1.07,1.25,★,9.03,0.33,
2,603618,杭电股份,2026-09-21,A,-3.76,1.28,1.72,4.99,2026-09-21 13:30,40.82,0.64,4.99,9699200,2354400,0.65,1.08,★,40.5,-0.78,
3,600744,华银电力,2026-09-21,A,-8.45,2.82,1.45,4.46,2026-09-21 11:00,6.61,1.54,4.46,20018300,5041483,0.69,0.97,★,6.57,-0.61,
4,600089,特变电工,2026-09-21,B,-1.84,0.83,1.39,3.21,2026-09-21 14:30,18.29,0.38,3.21,4242660,1604178,0.77,0.92,★,18.27,-0.11,
5,600036,招商银行,2026-09-21,B,-2.96,1.08,1.43,2.92,2026-09-21 14:00,41.07,0.46,2.92,4790900,1660300,0.86,1.41,★,41.1,0.07,
