rank,code,name,date,grade,decline_5d_pct,day_pct,calm3_maxmin,burst3,bar_time,close,bar_change_pct,vol_ratio,signal_bar_vol,prev_bar_vol,ytd_vol_ratio,ytd_same,strength,now_price,chase_pct,chase_warn
1,600875,东方电气,2026-09-18,A,-4.46,1.71,2.18,4.41,2026-09-18 11:15,24.41,0.91,4.41,4926952,682900,0.78,1.03,★,24.44,0.12,
2,603618,杭电股份,2026-09-18,A,-5.11,2.25,2.31,3.9,2026-09-18 13:45,39.27,0.85,3.9,13194421,3358491,0.75,1.11,★,40.14,2.22,
3,002600,领益智造,2026-09-18,A,-4.81,0.88,1.73,3.72,2026-09-18 14:00,12.59,0.72,3.72,11393963,2308000,0.94,1.05,★,12.57,-0.16,
4,601212,白银有色,2026-09-18,A,-5.9,0.0,2.23,3.46,2026-09-18 14:15,6.29,0.8,3.46,31757914,11207800,0.97,1.01,★,6.31,0.32,
5,300390,天华新能,2026-09-18,B,-2.05,0.0,1.34,3.33,2026-09-18 14:00,53.73,1.02,3.33,3636390,907500,1.17,1.12,★,54.32,1.1,
