rank,code,name,date,bar_time,close,bar_change_pct,vol_ratio,signal_bar_vol,prev_bar_vol,ytd_vol_ratio,ytd_same,decline_5d_pct,day_pct,calm3_maxmin,burst3,grade,strength,now_price,chase_pct,chase_warn
1,600869,远东股份,2026-09-17,2026-09-17 11:00,22.28,1.64,3.75,46788302,7833115,0.65,0.93,-9.29,0.32,2.25,3.75,A,★,21.93,-1.57,
2,000998,隆平高科,2026-09-17,2026-09-17 10:30,8.9,1.95,3.43,16068603,3238921,1.38,1.98,-8.76,1.83,2.15,3.43,A,★★,8.91,0.11,
3,002472,双环传动,2026-09-17,2026-09-17 10:45,36.55,1.98,3.17,3527500,876800,0.73,1.53,-1.74,1.51,1.56,3.17,B,★,36.18,-1.01,
4,002050,三花智控,2026-09-17,2026-09-17 10:45,34.58,1.32,2.68,8817578,2150600,0.94,1.62,-4.88,2.55,2.56,2.68,A,★,34.59,0.03,
5,600580,卧龙电驱,2026-09-17,2026-09-17 10:45,27.17,1.15,2.68,5024306,1770400,0.9,1.59,-3.65,1.16,2.12,2.68,A,★,26.99,-0.66,
6,300418,昆仑万维,2026-09-17,2026-09-17 10:45,43.92,1.31,2.48,9448866,2304889,0.96,1.97,-2.78,0.98,2.52,2.48,B,★★,43.45,-1.07,
7,002747,埃斯顿,2026-09-17,2026-09-17 10:45,29.63,1.23,2.22,4887501,2185900,0.97,2.18,-1.12,0.72,1.82,2.22,B,★★,29.38,-0.84,
8,300607,拓斯达,2026-09-17,2026-09-17 10:45,33.62,1.79,2.04,4269504,1762451,0.83,1.84,-7.27,1.57,2.24,2.04,A,★★,33.05,-1.7,
