rank,code,name,date,bar_time,close,bar_change_pct,vol_ratio,signal_bar_vol,prev_bar_vol,ytd_vol_ratio,ytd_same,decline_5d_pct,day_pct,calm3_maxmin,burst3,grade,strength,now_price,chase_pct,chase_warn
1,000564,供销大集,2026-09-15,2026-09-15 11:15,1.49,0.0,4.4,38018472,7478128,0.86,0.99,-10.98,-2.6,1.62,4.4,A,★,1.5,0.67,
2,600259,中稀有色,2026-09-15,2026-09-15 13:30,77.96,0.62,3.89,990597,335700,1.04,1.45,-2.02,2.98,2.77,3.89,B,★,78.18,0.28,
3,300244,迪安诊断,2026-09-15,2026-09-15 11:15,18.15,0.22,3.79,2896200,641767,1.01,1.85,-2.97,2.55,1.47,3.79,B,★★,18.2,0.28,
4,001248,华润新能,2026-09-15,2026-09-15 11:00,12.0,1.78,3.45,7202694,965501,1.46,2.15,-1.66,0.17,2.8,3.45,B,★★,11.9,-0.83,
5,000612,焦作万方,2026-09-15,2026-09-15 13:30,11.04,0.64,2.14,8014901,8199280,3.43,4.71,-4.28,0.0,6.91,2.14,A,★★★,11.04,0.0,
