rank,code,name,date,bar_time,close,bar_change_pct,vol_ratio,signal_bar_vol,prev_bar_vol,ytd_vol_ratio,decline_5d_pct,calm3_maxmin,burst3,grade
1,002851,麦格米特,2026-09-07,2026-09-07 13:30,130.73,0.35,5.37,3217683,599100,0.96,-7.22,1.87,3.7,A
2,605358,605358,2026-09-07,2026-09-07 13:45,43.03,1.49,4.5,5028512,1117692,1.56,-8.19,2.7,2.74,A
3,300131,英唐智控,2026-09-07,2026-09-07 13:45,16.13,1.45,4.26,8041213,1887300,1.04,-8.0,1.66,4.44,A
4,688300,688300,2026-09-07,2026-09-07 13:30,175.19,1.18,4.15,1467204,353278,1.36,-15.19,3.07,2.03,A
5,600246,600246,2026-09-07,2026-09-07 13:45,12.8,1.03,4.06,11303339,2786002,1.02,-10.43,1.38,3.65,A
6,600105,永鼎股份,2026-09-07,2026-09-07 13:30,39.0,0.96,3.8,9393078,2472186,0.96,-7.75,3.33,1.98,A
7,601869,长飞光纤,2026-09-07,2026-09-07 13:30,398.5,1.03,3.64,920409,252642,1.18,-9.5,3.77,1.69,A
8,300666,300666,2026-09-07,2026-09-07 13:30,235.84,1.31,3.59,1085785,302800,1.49,-9.79,3.71,1.72,A
9,000711,京蓝科技,2026-09-07,2026-09-07 14:00,5.65,0.89,3.56,7976400,2238700,1.2,-2.21,1.29,3.42,B
10,002222,福晶科技,2026-09-07,2026-09-07 13:30,68.38,0.77,3.5,1244548,355900,0.97,-8.65,3.57,1.73,A
11,001232,嘉立创,2026-09-07,2026-09-07 10:45,171.03,0.74,3.43,734265,213876,1.54,-6.46,4.02,1.47,A
12,600246,万通发展,2026-09-07,2026-09-07 14:30,12.83,0.94,3.31,7249849,2190900,1.16,-10.43,5.16,1.28,A
13,688433,华曙高科,2026-09-07,2026-09-07 14:45,111.41,1.82,3.25,696586,214356,1.77,-3.36,3.39,1.74,A
14,601138,工业富联,2026-09-07,2026-09-07 13:30,66.28,1.38,3.23,14531868,4495515,1.34,-1.77,1.16,3.24,B
15,300394,300394,2026-09-07,2026-09-07 13:30,267.6,0.94,3.13,3691523,1177633,1.16,-5.44,3.23,1.58,A
16,002475,立讯精密,2026-09-07,2026-09-07 13:30,56.15,1.1,3.08,9658734,3137114,0.9,-5.76,1.87,2.33,A
17,002384,东山精密,2026-09-07,2026-09-07 13:30,190.18,1.34,3.01,5987688,1989500,1.4,-9.76,2.23,2.02,A
18,002655,共达电声,2026-09-07,2026-09-07 14:15,38.75,1.23,2.99,1464100,489800,1.01,-3.73,3.84,1.14,A
19,000887,中鼎股份,2026-09-07,2026-09-07 14:45,21.37,0.33,2.99,1511599,505000,1.2,-3.79,2.57,1.85,A
20,688072,拓荆科技,2026-09-07,2026-09-07 13:30,652.39,0.76,2.99,292205,97580,0.95,-8.25,2.03,1.92,A
21,688836,宇树科技,2026-09-07,2026-09-07 13:45,541.96,1.52,2.92,255881,87491,0.92,-6.12,1.42,2.64,A
22,300395,菲利华,2026-09-07,2026-09-07 13:45,92.85,0.49,2.86,1319220,460608,0.97,-6.48,1.6,2.29,A
23,301319,301319,2026-09-07,2026-09-07 13:30,97.12,1.65,2.78,529310,190400,1.06,-13.51,3.42,1.42,A
24,000021,深科技,2026-09-07,2026-09-07 13:30,35.38,0.54,2.68,3203325,1194700,0.95,-8.53,1.75,1.87,A
25,688981,中芯国际,2026-09-07,2026-09-07 13:30,124.85,1.1,2.66,2312272,867803,0.95,-5.87,1.96,1.93,A
26,002552,宝鼎科技,2026-09-07,2026-09-07 13:45,48.68,1.14,2.66,1818300,682800,1.01,-13.0,1.54,2.64,A
27,600549,厦门钨业,2026-09-07,2026-09-07 13:30,50.45,1.1,2.66,2363000,887462,0.91,-9.51,1.57,2.14,A
28,688141,杰华特,2026-09-07,2026-09-07 13:30,121.53,1.85,2.59,480703,185941,1.03,-8.97,3.19,1.28,A
29,003031,中瓷电子,2026-09-07,2026-09-07 13:30,120.88,1.61,2.58,649485,251500,0.95,-10.75,2.03,2.04,A
30,600641,先导基电,2026-09-07,2026-09-07 13:30,31.2,1.04,2.54,2204792,868400,0.9,-14.66,2.01,1.53,A
31,688629,华丰科技,2026-09-07,2026-09-07 13:30,128.7,0.59,2.53,1053524,415730,0.98,-10.19,1.57,2.05,A
32,301526,国际复材,2026-09-07,2026-09-07 13:30,27.47,0.92,2.52,6582558,2615300,0.98,-14.9,3.01,1.35,A
33,002371,北方华创,2026-09-07,2026-09-07 13:30,665.67,0.99,2.52,450070,178370,1.18,-8.81,1.84,1.77,A
34,002655,共达电声,2026-09-07,2026-09-07 13:30,38.54,1.69,2.51,1490600,594200,1.01,-3.73,5.44,0.93,A
35,601136,首创证券,2026-09-07,2026-09-07 14:45,15.66,0.13,2.5,1577400,630300,0.95,-2.02,1.52,2.02,B
36,688141,杰华特,2026-09-07,2026-09-07 14:45,120.87,0.07,2.48,592284,239158,1.16,-8.97,2.32,1.43,A
37,300398,飞凯材料,2026-09-07,2026-09-07 13:30,33.29,0.79,2.46,1385400,562200,0.92,-11.48,2.35,1.58,A
38,300870,欧陆通,2026-09-07,2026-09-07 13:30,217.0,1.12,2.45,397221,162080,0.94,-7.15,2.97,1.23,A
39,688195,腾景科技,2026-09-07,2026-09-07 13:45,205.31,1.28,2.42,1324346,546839,0.95,-1.89,1.92,2.19,B
40,000725,京东方Ａ,2026-09-07,2026-09-07 13:30,5.7,0.53,2.41,62831430,26090939,0.96,-6.66,2.26,1.75,A
41,300870,欧陆通,2026-09-07,2026-09-07 14:45,216.74,0.97,2.4,487202,203410,0.94,-7.15,1.79,1.73,A
42,000657,中钨高新,2026-09-07,2026-09-07 14:45,59.99,0.12,2.39,2724000,1138800,0.99,-12.4,1.27,2.18,A
43,600397,江钨装备,2026-09-07,2026-09-07 14:45,17.59,0.17,2.37,2909000,1229300,0.95,-12.47,2.31,1.54,A
44,600227,赤天化,2026-09-07,2026-09-07 14:45,4.5,0.0,2.35,10084800,4293700,0.93,-14.88,1.98,1.43,A
45,688041,海光信息,2026-09-07,2026-09-07 13:30,242.91,1.53,2.35,1423566,605491,1.66,-4.03,1.65,1.82,A
46,002050,三花智控,2026-09-07,2026-09-07 14:45,36.53,0.14,2.34,2354217,1005400,1.15,-2.31,1.44,1.85,B
47,000988,000988,2026-09-07,2026-09-07 13:30,101.59,0.95,2.29,3164987,1381226,1.2,-8.74,2.62,1.47,A
48,301308,江波龙,2026-09-07,2026-09-07 13:30,358.78,0.54,2.29,616899,269700,1.07,-9.1,1.79,1.69,A
49,000792,盐湖股份,2026-09-07,2026-09-07 13:30,26.27,0.54,2.26,2992395,1322146,0.92,-5.46,2.38,1.37,A
50,301396,宏景科技,2026-09-07,2026-09-07 13:45,177.29,0.58,2.25,710070,316280,0.93,-8.27,1.43,1.87,A
51,002636,金安国纪,2026-09-07,2026-09-07 13:45,68.81,0.98,2.25,3233307,1439265,0.92,-14.71,1.45,1.84,A
52,688388,嘉元科技,2026-09-07,2026-09-07 13:45,28.01,0.25,2.24,2141331,955443,0.91,-10.34,1.39,2.27,A
53,600183,600183,2026-09-07,2026-09-07 13:45,149.17,1.68,2.23,6934583,3106201,1.17,-10.37,1.43,2.61,A
54,605589,圣泉集团,2026-09-07,2026-09-07 14:45,38.23,0.45,2.23,1003800,450500,0.97,-9.48,1.39,1.77,A
55,300346,南大光电,2026-09-07,2026-09-07 13:30,52.1,0.97,2.23,1505340,676500,0.96,-9.45,1.52,1.74,A
56,688012,中微公司,2026-09-07,2026-09-07 13:30,346.44,0.87,2.22,821980,370757,1.16,-7.34,2.52,1.25,A
57,688008,澜起科技,2026-09-07,2026-09-07 13:30,197.68,1.1,2.22,1824903,822306,1.1,-8.42,1.81,1.56,A
58,300408,三环集团,2026-09-07,2026-09-07 13:30,114.16,0.95,2.21,2908679,1316137,1.4,-5.74,2.27,1.38,A
59,002080,002080,2026-09-07,2026-09-07 13:45,50.54,0.68,2.2,3380600,1535100,1.07,-11.08,1.19,1.97,A
60,300657,弘信电子,2026-09-07,2026-09-07 13:45,35.69,0.34,2.16,1706757,789095,0.96,-8.8,3.98,1.45,A
61,002409,雅克科技,2026-09-07,2026-09-07 13:30,131.49,1.15,2.14,948800,444200,0.98,-11.06,1.19,2.06,A
62,600549,厦门钨业,2026-09-07,2026-09-07 14:45,50.27,0.18,2.13,1532937,719300,0.91,-9.51,1.44,1.8,A
63,688388,嘉元科技,2026-09-07,2026-09-07 14:45,27.76,0.04,2.1,1194158,567326,0.91,-10.34,1.96,1.43,A
64,300136,信维通信,2026-09-07,2026-09-07 13:30,57.39,1.13,2.07,2127300,1029566,0.91,-8.22,1.23,1.89,A
65,603011,603011,2026-09-07,2026-09-07 13:30,25.32,0.8,2.07,2093900,1012469,1.64,-9.7,2.08,1.43,A
66,002185,华天科技,2026-09-07,2026-09-07 13:45,16.11,0.19,2.05,9433900,4612123,1.0,-8.68,1.2,1.9,A
67,000338,潍柴动力,2026-09-07,2026-09-07 13:45,27.66,0.44,2.03,6316315,3104900,0.94,-1.18,1.91,1.99,B
68,600498,烽火通信,2026-09-07,2026-09-07 13:30,39.05,0.59,2.01,3701900,1838700,0.91,-10.98,2.71,1.27,A
69,601138,工业富联,2026-09-07,2026-09-07 14:45,66.62,0.05,2.01,8028833,4001696,1.46,-1.77,2.02,1.31,B
70,002415,海康威视,2026-09-07,2026-09-07 14:30,34.83,0.58,2.01,2701470,1340793,1.2,-2.57,1.87,1.66,B
71,300613,富瀚微,2026-09-07,2026-09-07 13:30,72.61,1.17,2.0,611500,305456,0.91,-9.4,1.53,1.49,A
