rank,code,name,date,grade,decline_5d_pct,day_pct,calm3_maxmin,burst3,bar_time,close,bar_change_pct,vol_ratio,signal_bar_vol,prev_bar_vol,ytd_vol_ratio,ytd_same,strength,now_price,chase_pct,chase_warn
1,603938,三孚股份,2026-09-23,A,-5.96,0.0,2.42,3.21,2026-09-23 11:00,51.2,1.33,3.21,3108100,620700,0.82,1.23,★,51.28,0.16,
2,002531,天顺风能,2026-09-23,A,-6.14,-2.18,2.33,3.14,2026-09-23 11:15,7.16,1.56,3.14,11637995,2035900,0.61,0.91,★,7.14,-0.28,
3,002077,大港股份,2026-09-23,B,-1.95,0.0,1.82,2.69,2026-09-23 11:15,14.11,1.58,2.69,6322449,2037410,0.62,0.94,★,14.14,0.21,
4,002886,沃特股份,2026-09-23,B,-2.49,0.0,1.28,2.03,2026-09-23 14:30,27.26,0.15,2.03,1728374,969826,1.28,1.44,★,27.12,-0.51,
