rank,code,name,date,bar_time,close,bar_change_pct,vol_ratio,signal_bar_vol,prev_bar_vol,ytd_vol_ratio,ytd_same,decline_5d_pct,calm3_maxmin,burst3,grade,strength,now_price,chase_pct,chase_warn
1,300846,首都在线,2026-09-10,2026-09-10 14:00,19.9,0.1,2.4,5964999,2488717,2.8,3.37,-2.12,3.22,4.41,B,★★★,19.82,-0.4,
2,600233,圆通速递,2026-09-10,2026-09-10 13:45,17.36,0.99,3.0,2564300,853700,1.79,2.21,-1.23,2.93,2.47,B,★★,17.53,0.98,
3,688662,富信科技,2026-09-10,2026-09-10 14:15,86.25,0.3,2.25,1274067,566316,1.37,1.56,-1.87,3.03,3.74,B,★,86.24,-0.01,
