rank,code,name,date,bar_time,close,bar_change_pct,vol_ratio,signal_bar_vol,prev_bar_vol,ytd_vol_ratio,decline_5d_pct,calm3_maxmin,burst3,grade
1,002851,麦格米特,2026-09-07,2026-09-07 13:30,130.73,0.35,5.37,3217683,599100,0.96,-7.22,1.87,3.7,A
2,605358,605358,2026-09-07,2026-09-07 13:45,43.03,1.49,4.5,5028512,1117692,1.56,-8.19,2.7,2.74,A
3,300131,英唐智控,2026-09-07,2026-09-07 13:45,16.13,1.45,4.26,8041213,1887300,1.04,-8.0,1.66,4.44,A
4,688300,688300,2026-09-07,2026-09-07 13:30,175.19,1.18,4.15,1467204,353278,1.36,-15.19,3.07,2.03,A
5,600246,600246,2026-09-07,2026-09-07 13:45,12.8,1.03,4.06,11303339,2786002,1.02,-10.43,1.38,3.65,A
