rank,code,name,date,bar_time,close,bar_change_pct,vol_ratio,signal_bar_vol,prev_bar_vol,ytd_vol_ratio,ytd_same,decline_5d_pct,day_pct,calm3_maxmin,burst3,grade,strength,now_price,chase_pct,chase_warn
1,000831,中国稀土,2026-09-15,2026-09-15 14:00,53.43,0.96,6.03,5301348,741275,1.1,1.31,-5.0,2.2,1.32,6.03,A,★,53.34,-0.17,
2,002157,正邦科技,2026-09-15,2026-09-15 13:45,3.18,0.32,5.49,23047000,3276500,1.33,1.56,-4.6,2.57,1.78,5.49,A,★,3.18,0.0,
3,600111,北方稀土,2026-09-15,2026-09-15 14:00,37.44,0.24,4.99,4459600,609500,0.98,1.23,-4.92,1.05,2.08,4.99,A,★,37.35,-0.24,
4,000564,供销大集,2026-09-15,2026-09-15 11:15,1.49,0.0,4.4,38018472,7478128,0.86,0.99,-10.98,-2.6,1.62,4.4,A,★,1.48,-0.67,
5,600259,中稀有色,2026-09-15,2026-09-15 13:30,77.96,0.62,3.89,990597,335700,1.04,1.45,-2.02,2.98,2.77,3.89,B,★,79.37,1.81,
