rank,code,name,date,bar_time,close,bar_change_pct,vol_ratio,signal_bar_vol,prev_bar_vol,ytd_vol_ratio,ytd_same,decline_5d_pct,day_pct,calm3_maxmin,burst3,grade,strength,now_price,chase_pct,chase_warn
1,600795,国电电力,2026-09-11,2026-09-11 14:45,5.32,0.19,3.29,6861100,2087300,1.39,1.45,-1.86,0.95,3.38,1.52,B,★,5.32,0.0,
2,688111,金山办公,2026-09-11,2026-09-11 14:00,230.18,0.96,2.91,546241,187460,1.56,1.89,-6.28,0.48,1.33,2.87,A,★★,228.82,-0.59,
3,000711,京蓝科技,2026-09-11,2026-09-11 13:45,4.99,1.01,2.78,12178400,4385600,0.78,1.09,-12.5,-0.79,1.77,3.58,A,★,4.99,0.0,
4,002025,航天电器,2026-09-11,2026-09-11 14:00,63.28,1.57,2.68,1359870,507800,1.55,1.58,-1.22,-0.61,1.67,3.21,B,★,63.01,-0.43,
5,002850,科达利,2026-09-11,2026-09-11 10:15,165.0,0.16,2.32,556800,240400,1.03,1.66,-1.14,1.25,,,B,★,171.4,3.88,慎追
