rank,code,name,date,grade,decline_5d_pct,day_pct,calm3_maxmin,burst3,bar_time,close,bar_change_pct,vol_ratio,signal_bar_vol,prev_bar_vol,ytd_vol_ratio,ytd_same,strength,now_price,chase_pct,chase_warn
1,601360,三六零,2026-09-21,B,-2.88,2.74,2.56,6.07,2026-09-21 13:30,9.0,0.78,6.07,22210717,5529300,1.07,1.25,★,9.03,0.33,
2,603618,杭电股份,2026-09-21,A,-3.76,1.28,1.72,4.99,2026-09-21 13:30,40.82,0.64,4.99,9699200,2354400,0.65,1.08,★,40.68,-0.34,
3,600744,华银电力,2026-09-21,A,-8.45,2.82,1.45,4.46,2026-09-21 11:00,6.61,1.54,4.46,20018300,5041483,0.69,0.97,★,6.58,-0.45,
4,600089,特变电工,2026-09-21,B,-1.84,0.83,1.39,3.21,2026-09-21 14:30,18.29,0.38,3.21,4242660,1604178,0.77,0.92,★,18.3,0.05,
5,002104,恒宝股份,2026-09-21,A,-4.05,0.0,1.25,3.1,2026-09-21 14:45,11.84,1.02,3.1,5637698,1615100,2.52,2.63,★★★,11.8,-0.34,
6,605580,恒盛能源,2026-09-21,A,-3.81,0.0,1.25,3.05,2026-09-21 14:45,23.05,0.66,3.05,766701,269600,1.19,1.26,★,23.09,0.17,
7,601688,华泰证券,2026-09-21,B,-2.5,0.76,1.09,2.93,2026-09-21 14:45,18.48,0.54,2.93,5180400,1864400,0.93,0.93,★,18.47,-0.05,
8,600036,招商银行,2026-09-21,B,-2.96,1.08,1.43,2.92,2026-09-21 14:00,41.07,0.46,2.92,4790900,1660300,0.86,1.41,★,41.04,-0.07,
9,300468,四方精创,2026-09-21,B,-2.91,0.0,1.22,2.88,2026-09-21 14:45,22.99,1.01,2.88,5433405,2043600,1.98,2.0,★★,22.96,-0.13,
10,002460,赣锋锂业,2026-09-21,B,-1.03,0.78,1.19,2.76,2026-09-21 14:45,46.65,0.39,2.76,2242400,747792,1.1,1.16,★,46.56,-0.19,
11,603936,博敏电子,2026-09-21,A,-4.26,1.31,1.41,2.67,2026-09-21 14:15,21.61,0.61,2.67,3046500,926900,0.85,0.91,★,21.61,0.0,
12,603459,红板科技,2026-09-21,B,-2.03,2.58,1.23,2.58,2026-09-21 14:45,89.77,1.16,2.58,762965,272500,1.35,1.05,★,91.6,2.04,
13,600760,中航沈飞,2026-09-21,A,-3.52,2.46,1.47,2.41,2026-09-21 14:30,45.04,0.2,2.41,739900,381100,1.12,1.41,★,45.0,-0.09,
14,601606,长城军工,2026-09-21,A,-4.38,1.28,1.92,2.34,2026-09-21 14:15,33.17,0.64,2.34,2333776,724700,0.96,1.08,★,33.25,0.24,
15,000001,平安银行,2026-09-21,B,-1.27,0.26,1.16,2.24,2026-09-21 14:45,11.72,0.17,2.24,7532000,3533200,0.92,0.96,★,11.73,0.09,
16,600403,大有能源,2026-09-21,B,-2.74,2.82,1.65,2.22,2026-09-21 14:15,6.93,1.02,2.22,6346500,2319900,0.79,0.97,★,6.91,-0.29,
