rank,code,name,date,bar_time,close,bar_change_pct,vol_ratio,signal_bar_vol,prev_bar_vol,ytd_vol_ratio,ytd_same,decline_5d_pct,day_pct,calm3_maxmin,burst3,grade,strength,now_price,chase_pct,chase_warn
1,600121,郑州煤电,2026-09-17,2026-09-17 14:00,5.06,1.61,4.3,39422993,17913259,1.09,1.28,-12.72,0.0,3.73,4.3,A,★,5.01,-0.99,
2,002241,歌尔股份,2026-09-17,2026-09-17 13:30,21.91,0.69,3.82,6377431,2579877,0.86,1.12,-4.44,1.63,2.51,3.82,A,★,22.0,0.41,
3,600869,远东股份,2026-09-17,2026-09-17 11:00,22.28,1.64,3.75,46788302,7833115,0.65,0.93,-9.29,0.32,2.25,3.75,A,★,21.44,-3.77,
4,000998,隆平高科,2026-09-17,2026-09-17 10:30,8.9,1.95,3.43,16068603,3238921,1.38,1.98,-8.76,1.83,2.15,3.43,A,★★,9.02,1.35,
5,002472,双环传动,2026-09-17,2026-09-17 10:45,36.55,1.98,3.17,3527500,876800,0.73,1.53,-1.74,1.51,1.56,3.17,B,★,36.23,-0.88,
